Avg. Issue Latency,Count,Location,Line Number,Line,Function,Assembly,Saturated
8.00,1,???,0,???,???,???,0
8.00,1,???,0,???,_ZN4node9inspector12_GLOBAL__N_126SameThreadInspectorSession8DispatchERKN12v8_inspector10StringViewE,ldrb w0  [x19  #0x42],0
8.00,1,???,0,???,_ZN2v88internal4wasm16LiftoffAssembler18emit_i8x16_swizzleENS1_15LiftoffRegisterES3_S3_,mov x29  sp,0
8.00,1,???,0,???,_ZN2v88internal4wasm32TurboshaftGraphBuildingInterface9BinOpImplENS1_10WasmOpcodeENS0_8compiler10turboshaft7OpIndexES6_,bl #0x1a00020,0
8.00,1,(null),0,(null),(null),(null),0
8.00,1,(null),0,(null),(null),(null),0
8.00,1,(null),0,(null),(null),(null),0
8.00,1,(null),0,(null),(null),(null),0
8.00,1,(null),0,(null),(null),(null),0
8.00,1,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/slice/iter/macros.rs,160,(null),_ZN91_$LT$core..slice..iter..Iter$LT$T$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$4next17h0af11cd34cd7fee9E,str x8  [sp  #0x20],0
8.00,1,src/hotline/lat_map.c,115,(null),parse_and_insert_lat_entry,stp x5  x1  [sp  #0x68],0
8.00,1,src/hotline/lat_map.c,117,(null),parse_and_insert_lat_entry,str d1  [sp  #0x30],0
8.00,1,src/hotline/lat_map.c,82,(null),parse_and_insert_lat_entry,stp q0  q0  [x1  #0xa0],0
8.00,1,src/hotline/bmiss_map.c,66,(null),parse_and_insert_bmiss_entry,stp q0  q0  [x20  #0x20],0
8.00,1,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ptr/non_null.rs,391,(null),_ZN63_$LT$alloc..alloc..Global$u20$as$u20$core..alloc..Allocator$GT$10deallocate17h0f45ec0612148410E,str x8  [sp  #0x48],0
8.00,1,???,0,???,_ZN4node5http213Http2Settings4PackEPNS_11EnvironmentEmPK22nghttp2_settings_entry,stp x25  x26  [sp  #0x40],0
7.00,1,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/iter/adapters/enumerate.rs,0,(null),_ZN110_$LT$core..iter..adapters..enumerate..Enumerate$LT$I$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$4next17h6ae4d4bb8211729aE,ldr x8  [sp],0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,src/hotline/lat_map.c,171,(null),parse_and_insert_lat_entry,ldp x29  x30  [sp],0
7.00,1,src/hotline/lat_map.c,171,(null),parse_and_insert_lat_entry,ldr x21  [sp  #0x20],0
7.00,1,???,0,???,???,???,0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,/usr/include/c++/11/bits/basic_string.tcc,206,"      basic_string<_CharT, _Traits, _Alloc>::",_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12_M_constructIPcEEvT_S7_St20forward_iterator_tag.isra.0,ldr x3  [x3  #0xba8],0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/intrinsics/mod.rs,3186,(null),_ZN4core9ub_checks23maybe_is_nonoverlapping7runtime17h386d01054c725cdaE,ldr x30  [sp  #0x80],0
7.00,1,/usr/include/c++/11/bits/basic_string.h,540,"      }",_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC2IS3_EEPKcRKS3_.constprop.0,ldp x19  x20  [sp  #0x10],0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
7.00,1,(null),0,(null),(null),(null),0
