Avg Exec Latency,Count,Saturated,Location,Line,Function,Assembly
27.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/option.rs:1119,???,_ZN81_$LT$core..str..iter..Chars$u20$as$u20$core..iter..traits..iterator..Iterator$GT$4next17hc9cd5089a83af6e8E,ldr w8  [sp  #0xc]
26.00,1,0,/usr/lib/aarch64-linux-gnu/libc.so.6:0x12fba0,(null),???,???
5.20,5,0,/home/ubuntu/aperf:0x28c834,(null),???,???
25.00,1,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:122,???,???,ldp q2  q3  [x4  #-0x20]
5.00,5,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:156,???,???,ldp q2  q3  [x1  #0x30]
25.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/str/iter.rs:43,???,_ZN81_$LT$core..str..iter..Chars$u20$as$u20$core..iter..traits..iterator..Iterator$GT$4next17hc9cd5089a83af6e8E,ldr w0  [sp  #4]
12.50,2,0,/home/ubuntu/hotline_c/btree.c:230,???,btree_node_bsearch,ldp x23  x24  [sp  #0x30]
23.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/char/methods.rs:1006,???,_ZN4core4char7methods22_$LT$impl$u20$char$GT$10is_numeric17hb9b523208987101aE,ldrb w8  [sp  #0xb]
21.00,1,0,/home/ubuntu/hotline_c/hotline.c:389,???,pc_to_file_offset,ldr x4  [x4  #0x2a0]
10.50,2,0,/home/ubuntu/hotline_c/hotline.c:617,???,process_record_buffer,ldr w1  [x24  x4]
19.00,1,0,/home/ubuntu/hotline_c/hotline.c:267,???,add_global_filename,ldr x19  [x25  #0x2a0]
9.50,2,0,/home/ubuntu/hotline_c/hotline.c:346,???,get_pid_maps,ldp x29  x30  [sp]  #0x40
18.00,1,0,/usr/lib/aarch64-linux-gnu/nptl/pthread_rwlock_unlock.c:44,???,???,ldp x21  x22  [sp  #0x20]
6.00,3,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:4459,???,???,ldr x7  [x19  #0x18]
6.00,3,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:149,???,???,ldr q3  [x1]
9.00,2,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:163,???,???,ldp q2  q3  [x1  #0x70]
9.00,2,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbf74b4,(null),???,???
18.00,1,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x15e5c,(null),???,str x1  [x0]
18.00,1,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x15e8c,(null),???,str xzr  [x0  #0xd0]
9.00,2,0,/home/ubuntu/library/core/src/result.rs:2009,???,_ZN5alloc7raw_vec20RawVecInner$LT$A$GT$7reserve21do_reserve_and_handle17h34a2a76945f1dfc5E,ldr w8  [sp]
18.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/option.rs:977,???,_ZN81_$LT$aperf..data..processes..ProcessesRaw$u20$as$u20$aperf..data..CollectData$GT$12collect_data17hfa8ab6ad9e8cc3a0E,ldr x8  [sp  #0x568]
6.00,3,0,/home/ubuntu/hotline_c/hotline.c:684,???,process_record_buffer,ldrh w1  [x28  #4]
18.00,1,0,/home/ubuntu/hotline_c/hotline.c:894,???,process_aux_record,ldp x21  x22  [sp  #0x20]
9.00,2,0,/home/ubuntu/hotline_c/btree.c:230,???,btree_node_bsearch,ldp x19  x20  [sp  #0x10]
6.00,3,0,/home/ubuntu/hotline_c/btree.c:559,???,btree_node_set,ldr x3  [sp  #0x78]
18.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/slice/iter.rs:0,???,_ZN4core5slice29_$LT$impl$u20$$u5b$T$u5d$$GT$12chunks_exact17h02ed23451d0f3f7bE,ldr x9  [sp  #0x20]
8.50,2,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:132,???,???,ldp q4  q5  [x1  #0x20]
17.00,1,0,/home/ubuntu/hotline_c/hotline.c:899,???,process_aux_record,ldr x3  [sp  #0x248]
8.50,2,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/iter/adapters/copied.rs:46,???,_ZN104_$LT$core..iter..adapters..copied..Copied$LT$I$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$4next17h7a4a3f916fe7b162E,str x0  [sp  #0x18]
16.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x9cf664,(null),???,???
16.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe0f4,(null),???,???
4.00,4,0,/home/ubuntu/hotline_c/btree.c:525,???,btree_node_set,ldrb w3  [sp  #0x67]
8.00,2,0,/home/ubuntu/hotline_c/btree.c:559,???,btree_node_set,ldp x19  x20  [sp  #0x10]
