Avg X Latency,Count,Saturated,Location,Line,Function,Assembly
0.00,3,0,/home/ubuntu/hotline_c/btree.c:646,???,btree_get0,ldr x2  [x1]
0.00,2,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbf2aa8,(null),???,???
0.00,3,0,/home/ubuntu/hotline_c/hotline.c:388,???,pc_to_file_offset,ldr x7  [x0  #8]
0.00,2,0,/usr/include/aarch64-linux-gnu/bits/string_fortified.h:29,  return __builtin___memcpy_chk (__dest, __src, __len,,parse_spe_record,ldr w2  [x0  #4]
0.00,2,0,/home/ubuntu/hotline_c/hotline.c:757,???,process_aux_buffer,str x19  [x20  #0x30]
0.00,5,0,/home/ubuntu/aperf:0x28c834,(null),???,???
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x14c182c,(null),_ZN2v88internal25InternalStringToIntDoubleILi5EPKtS3_EEdT0_T1_bb,sub w4  w4  #0x57
0.00,4,0,/home/ubuntu/hotline_c/btree.c:488,???,btree_search,ldp x19  x20  [sp  #0x10]
0.00,4,0,/home/ubuntu/hotline_c/btree.c:212,???,btree_node_bsearch,stp x23  x24  [sp  #0x30]
0.00,2,0,/home/ubuntu/hotline_c/btree.c:625,???,btree_set0,ldr x1  [x0]
0.00,3,0,/home/ubuntu/hotline_c/btree.c:559,???,btree_node_set,ldr x3  [sp  #0x78]
0.00,2,0,/home/ubuntu/hotline_c/btree.c:529,???,btree_node_set,ldrb w0  [x19  #4]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:548,???,parse_spe_record,ldrb w0  [x0  #0x36]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:773,???,process_aux_record,ldr w1  [x0]
0.00,3,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:149,???,???,ldr q3  [x1]
0.00,2,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:160,???,???,stp q0  q1  [x3  #0x10]
0.00,2,0,/home/ubuntu/hotline_c/btree.c:628,???,btree_get0,ldr x0  [x3]
0.00,2,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:161,???,???,ldp q0  q1  [x1  #0x50]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x221f430,(null),_ZN3ada6parser14parse_url_implINS_3urlELb1EEET_St17basic_string_viewIcSt11char_traitsIcEEPKS3_,movz w1  #0x2f
0.00,3,0,/home/ubuntu/hotline_c/hotline.c:265,???,add_global_filename,stp x23  x24  [sp  #0x30]
0.00,3,0,/home/ubuntu/hotline_c/hotline.c:528,???,parse_spe_record,str x2  [x1  #8]
0.00,3,0,/home/ubuntu/hotline_c/btree.c:488,???,btree_search,ldp x25  x26  [sp  #0x40]
0.00,4,0,/home/ubuntu/hotline_c/btree.c:525,???,btree_node_set,ldrb w3  [sp  #0x67]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:389,???,pc_to_file_offset,ldr x4  [x4  x6  lsl #3]
0.00,3,0,/home/ubuntu/hotline_c/btree.c:212,???,btree_node_bsearch,stp x29  x30  [sp  #-0x50]!
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:833,???,process_aux_record,ldur q2  [x3  #0x38]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:389,???,pc_to_file_offset,ldr w6  [x0  #0x18]
0.00,1,0,/home/ubuntu/hotline_c/btree.c:78,???,btree_node_set,ldar w0  [x0]
0.00,1,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3197,???,???,strh w1  [x2]
0.00,2,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:163,???,???,ldp q2  q3  [x1  #0x70]
0.00,3,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ptr/const_ptr.rs:0,???,_ZN4core5slice3raw14from_raw_parts18precondition_check17hff82b08b3d74beadE,ldr x9  [sp  #0x18]
0.00,3,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:126,???,???,stp q2  q3  [x5  #-0x20]
0.00,2,0,/home/ubuntu/hotline_c/btree.c:522,???,btree_node_set,ldr x3  [x5]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe3ec,(null),???,???
0.00,2,0,/home/ubuntu/hotline_c/btree.c:559,???,btree_node_set,ldp x19  x20  [sp  #0x10]
0.00,2,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3287,???,???,stp x29  x30  [sp  #-0x40]!
0.00,2,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/slice/mod.rs:2014,???,_ZN4core5slice29_$LT$impl$u20$$u5b$T$u5d$$GT$18split_at_unchecked17he4a92d783b476d2fE,str x12  [x9]
0.00,1,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3394,???,???,str w21  [x19  x20]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x1af069c,(null),_ZN2v88internal4wasm7fuzzing12_GLOBAL__N_129GenerateRefTypeElementSegmentEPNS3_9DataRangeEPNS1_17WasmModuleBuilderENS1_9ValueTypeE,str x23  [sp  #0x30]
0.00,2,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ub_checks.rs:0,???,_ZN5alloc3vec16Vec$LT$T$C$A$GT$15append_elements17hf2652374cea29598E,ldr x8  [sp  #0x28]
0.00,3,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/option.rs:935,???,_ZN4core6option15Option$LT$T$GT$6expect17hb49396ded5d52969E,ldr x30  [sp  #0x40]
0.00,3,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ub_checks.rs:0,???,_ZN4core5slice3raw14from_raw_parts18precondition_check17hff82b08b3d74beadE,ldr x8  [sp  #0x10]
0.00,3,0,/home/ubuntu/src/records/read.rs:262,???,_ZN15perf_event_data7records4read10GroupEntry3new17hd42367257250e901E,str x8  [sp  #0x48]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x17c7508,(null),_ZN2v87tracing11TracedValue10WriteCommaEv,cmp x20  #0xf
0.00,3,0,/home/ubuntu/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bitflags-2.4.0/src/lib.rs:633,???,_ZN15perf_event_data5flags1_16InternalBitFlags4bits17h9541c8b4a3847528E,str x8  [sp  #8]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x24297e4,(null),_ZN5crdtp4cbor12_GLOBAL__N_110ParseValueEiPNS0_13CBORTokenizerEPNS_13ParserHandlerE.part.0,ldp x21  x22  [sp  #0x20]
0.00,3,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/option.rs:999,???,_ZN4core6option15Option$LT$T$GT$9unwrap_or17h65c8a0d1b7c35127E,ldr x8  [sp  #8]
0.00,2,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:4702,???,???,ldr x1  [x0]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x17d4040,(null),_ZNK12v8_inspector21PromiseHandlerTracker11sendFailureEPNS_14InjectedScript22ProtocolPromiseHandlerERKN8v8_crdtp16DispatchResponseE,str x3  [sp  #0x78]
0.00,2,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3385,???,???,ldr x2  [x2  #0xd78]
0.00,2,0,/usr/lib/aarch64-linux-gnu/libstdc++.so.6.0.30:0x9c5f4,(null),???,???
0.00,2,0,/home/ubuntu/hotline_c/btree.c:628,???,btree_get0,ldr x3  [x3  #0xcd0]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe3f4,(null),???,???
0.00,1,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:171,???,???,ldp q4  q5  [x4  #-0x40]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe254,(null),???,???
0.00,2,0,/home/ubuntu/hotline_c/btree.c:628,???,btree_get0,stp x21  x22  [sp  #0x20]
0.00,2,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ub_checks.rs:66,???,_ZN4core5slice29_$LT$impl$u20$$u5b$T$u5d$$GT$18split_at_unchecked18precondition_check17hea069d977e7405d8E,str x30  [sp  #0x10]
0.00,3,0,/home/ubuntu/hotline_c/hotline.c:708,???,process_record_buffer,ldp x27  x28  [sp  #0x50]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe0f4,(null),???,???
0.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/result.rs:2010,???,_ZN79_$LT$core..result..Result$LT$T$C$E$GT$$u20$as$u20$core..ops..try_trait..Try$GT$6branch17h539e0bef69832fa7E,ldr x8  [x8  #8]
0.00,2,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x24179cc,(null),HUF_buildCTable_wksp,b.eq #0x2417a2c
0.00,2,0,/home/ubuntu/hotline_c/hotline.c:865,???,process_aux_record,ldr x2  [x20  #0x18]
0.00,3,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:795,???,_ZN91_$LT$core..slice..iter..Iter$LT$T$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$4next17h7b906c1c9f7b29edE,str x8  [sp  #0x40]
0.00,2,0,/home/ubuntu/hotline_c/hotline.c:787,???,process_aux_record,stp q0  q0  [x1  #0x20]
0.00,1,0,/home/ubuntu/hotline_c/btree.c:78,???,btree_node_set,ldr x0  [x25  #0x10]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe5b4,(null),???,???
0.00,2,0,/home/ubuntu/src/records/read.rs:267,???,_ZN15perf_event_data7records4read10GroupEntry3new17hd42367257250e901E,ldr x11  [sp  #0x30]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:899,???,process_aux_record,ldr x2  [x1]
0.00,1,0,/usr/lib/aarch64-linux-gnu/malloc/arena.c:162,???,???,ldr x0  [x0]
0.00,2,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe07c,(null),???,???
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe41c,(null),???,???
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe0f0,(null),???,???
0.00,2,0,/home/ubuntu/hotline_c/hotline.c:790,???,process_aux_record,ldr x3  [x22  #0xe78]
0.00,3,0,/home/ubuntu/hotline_c/hotline.c:582,???,process_record_buffer,str x3  [x29  #0x78]
0.00,1,0,/usr/lib/aarch64-linux-gnu/stdio-common/vfscanf-internal.c:616,???,???,ldrb w22  [x2]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x227b738,(null),BrotliSplitBlock,mul w0  w5  w7
0.00,2,0,/usr/include/aarch64-linux-gnu/bits/string_fortified.h:59,  return __builtin___memset_chk (__dest, __ch, __len,,parse_spe_record,str xzr  [x1  #0x20]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:777,???,process_aux_record,ldr x1  [x19  #8]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:845,???,process_aux_record,ldrb w2  [x19  #0x1e]
0.00,2,0,/home/ubuntu/hotline_c/btree.c:480,???,btree_search,stp x23  x24  [sp  #0x30]
0.00,2,0,/home/ubuntu/src/flags.rs:50,???,_ZN15perf_event_data5flags1_16InternalBitFlags8contains17ha68ea0736eaff61dE,str x8  [sp  #0x10]
0.00,3,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:4459,???,???,ldr x7  [x19  #0x18]
0.00,2,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:132,???,???,ldp q4  q5  [x1  #0x20]
0.00,2,0,/home/ubuntu/hotline_c/btree.c:488,???,btree_search,ldp x21  x22  [sp  #0x20]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x108cd9c,(null),_ZN4node9inspector11InspectorIo10ThreadMainEv,add x0  x0  #0x78
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x1200bdc,(null),_ZN2v88internal12_GLOBAL__N_134GetSharedFunctionInfoForScriptImplEPNS0_7IsolateENS0_6HandleINS0_6StringEEERKNS0_13ScriptDetailsEPNS_9ExtensionEPNS0_17AlignedCachedDataEPNS0_25BackgroundDeserializeTaskEPFbiPvESG_NS_14ScriptCompiler14CompileOptionsENSJ_13NoCacheReasonENS0_11NativesFlagEPNSJ_18CompilationDetailsE,str x0  [sp  #0xc8]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:518,???,parse_spe_record,ldr x4  [x2]
0.00,2,0,/usr/include/aarch64-linux-gnu/bits/string_fortified.h:59,  return __builtin___memset_chk (__dest, __ch, __len,,parse_spe_record,stp xzr  xzr  [x1]
0.00,2,0,/home/ubuntu/hotline_c/hotline.c:525,???,parse_spe_record,str x2  [sp  #0x10]
0.00,2,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/option.rs:930,???,_ZN4core6option15Option$LT$T$GT$6expect17hb49396ded5d52969E,str x0  [sp  #0x18]
0.00,1,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:172,???,???,stp q0  q1  [x3  #0x10]
0.00,2,0,/home/ubuntu/hotline_c/hotline.c:786,???,process_aux_record,ldr x0  [sp  #0x48]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xae251c,(null),???,???
0.00,1,0,/home/ubuntu/hotline_c/btree.c:537,???,btree_node_set,ldr x26  [x25  #0x10]
0.00,2,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ub_checks.rs:0,???,_ZN4core5slice3raw14from_raw_parts18precondition_check17hff82b08b3d74beadE,ldr x8  [sp  #0x20]
0.00,1,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3368,???,???,ldr x0  [x1  #8]
0.00,2,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe3e8,(null),???,???
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:758,???,process_aux_buffer,ldr x0  [x22  #0x18]
0.00,2,0,/home/ubuntu/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bitflags-2.4.0/src/lib.rs:633,???,_ZN15perf_event_data6config1_16InternalBitFlags4bits17h9226225232f24188E,str x8  [sp  #8]
0.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/result.rs:2010,???,_ZN79_$LT$core..result..Result$LT$T$C$E$GT$$u20$as$u20$core..ops..try_trait..Try$GT$6branch17hcef92fa34cff7108E,str q0  [sp  #0x10]
0.00,1,0,/home/ubuntu/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bitflags-2.4.0/src/lib.rs:695,???,_ZN15perf_event_data5flags1_16InternalBitFlags8contains17ha68ea0736eaff61dE,str x8  [sp  #8]
0.00,2,0,/home/ubuntu/hotline_c/hotline.c:880,???,process_aux_record,ldp q0  q1  [x6]
