Avg X Latency,Count,Saturated,Location,Line,Function,Assembly
0.00,2,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3395,???,???,ldp x29  x30  [sp]  #0x40
0.00,2,0,/home/ubuntu/hotline_c/btree.c:215,???,btree_node_bsearch,ldr x25  [sp  #0x40]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x21fdb10,(null),_ZN3ada4idna10to_unicodeB5cxx11ESt17basic_string_viewIcSt11char_traitsIcEE,movz w1  #0x2e
0.00,2,0,/home/ubuntu/hotline_c/hotline.c:843,???,process_aux_record,ldrh w4  [x19  #0x1c]
0.00,1,0,/home/ubuntu/hotline_c/btree.c:559,???,btree_node_set,ldr x2  [x1]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:896,???,process_aux_record,ldp x21  x22  [sp  #0x20]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe100,(null),???,???
0.00,2,0,/home/ubuntu/hotline_c/btree.c:220,???,btree_node_bsearch,strb w1  [x24]
0.00,2,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/option.rs:998,???,_ZN4core6option15Option$LT$T$GT$9unwrap_or17h65c8a0d1b7c35127E,str x2  [sp]
0.00,1,0,/home/ubuntu/library/core/src/fmt/mod.rs:1474,???,_ZN4core3fmt5write17h5b94da46a291b015E,ldr x2  [x23]
0.00,1,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:4151,???,???,str x2  [x6  #0x10]
0.00,1,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:83,???,???,str q0  [x0]
0.00,1,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:112,???,???,strb w6  [x0]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xdcac3c,(null),???,???
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x1afe110,(null),_ZN2v88internal4wasm7fuzzing24GenerateRandomWasmModuleILNS2_27WasmModuleGenerationOptionsE0EEENS_4base6VectorIhEEPNS0_4ZoneENS6_IKhEE,add x0  sp  #0x270
0.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:85,???,_ZN4core10intrinsics19copy_nonoverlapping18precondition_check17h02484794b5dcc040E,str s0  [x8  #0x74]
0.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/str/iter.rs:43,???,_ZN81_$LT$core..str..iter..Chars$u20$as$u20$core..iter..traits..iterator..Iterator$GT$4next17hc9cd5089a83af6e8E,ldr w0  [sp  #4]
0.00,2,0,/home/ubuntu/hotline_c/btree.c:230,???,btree_node_bsearch,ldp x23  x24  [sp  #0x30]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:879,???,process_aux_record,ldp q2  q3  [x8]
0.00,2,0,/home/ubuntu/hotline_c/btree.c:230,???,btree_node_bsearch,ldp x29  x30  [sp]  #0x50
0.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/result.rs:0,???,_ZN4core6result19Result$LT$T$C$E$GT$3map17ha256930de2d49afcE,ldr x8  [sp  #8]
0.00,2,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:121,???,???,ldp q0  q1  [x1]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:572,???,tsc_to_perf_time,ldr x1  [x1  #8]
0.00,1,0,/home/ubuntu/hotline_c/btree.c:625,???,btree_set0,ldr x0  [x0  #0xcd0]
0.00,2,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/slice/raw.rs:0,???,_ZN4core5slice3raw14from_raw_parts18precondition_check17hff82b08b3d74beadE,ldr x9  [sp  #0x10]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:675,???,process_record_buffer,ldr x1  [x1  #0x9e0]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe3e0,(null),???,???
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x1aba564,(null),_ZN2v88internal4wasm16BuildWasmWrapperEPNS0_19AccountingAllocatorERNS0_8compiler10turboshaft5GraphEPKNS0_9SignatureINS1_9ValueTypeEEENS1_22WrapperCompilationInfoEPKNS1_10WasmModuleE,mov x0  x20
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:556,???,parse_spe_record,ldr x1  [x0]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:572,???,tsc_to_perf_time,ldr w4  [x1  #4]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:584,???,process_record_buffer,ldr x23  [x24  #0x400]
