L1 (%),L1 bins (% | % | % | %),L2 (%),L2 bins (% | % | % | %),L3 (%),L3 bins (% | % | % | %),DRAM (%),DRAM bins (% | % | % | %),Location,Line,Function,Assembly
100.00,50.00 | 50.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ub_checks.rs:0,???,_ZN5alloc3vec16Vec$LT$T$C$A$GT$15append_elements17hf2652374cea29598E,ldr x8  [sp  #0x28]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe0f0,(null),???,???
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/src/records/read.rs:249,???,_ZN15perf_event_data7records4read10GroupEntry2id17hb332e292fc86fea2E,str x0  [sp]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:734,???,process_aux_buffer,ldr x0  [sp  #0x60]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/stdlib/msort.c:160,???,???,ldp x23  x24  [sp  #0x30]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:212,???,btree_node_bsearch,stp x19  x20  [sp  #0x10]
100.00,50.00 | 50.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/include/aarch64-linux-gnu/bits/string_fortified.h:29,  return __builtin___memcpy_chk (__dest, __src, __len,,parse_spe_record,ldur w2  [x0  #1]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:548,???,parse_spe_record,ldrb w0  [x0  #0x36]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:230,???,btree_node_bsearch,ldp x23  x24  [sp  #0x30]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ub_checks.rs:135,???,_ZN4core5slice3raw14from_raw_parts18precondition_check17hff82b08b3d74beadE,ldr x9  [sp  #0x58]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x19e19b8,(null),_ZN2v88internal4wasm15InstanceBuilder23ProcessImportedFunctionENS0_6HandleINS0_23WasmTrustedInstanceDataEEEiiNS3_INS0_6StringEEES7_NS3_INS0_6ObjectEEENS1_15WellKnownImportE,bl #0x1aa6e70
100.00,50.00 | 50.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/include/aarch64-linux-gnu/bits/string_fortified.h:29,  return __builtin___memcpy_chk (__dest, __src, __len,,parse_spe_record,ldr w2  [x0  #4]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe5b4,(null),???,???
100.00,50.00 | 50.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:488,???,btree_search,ldp x21  x22  [sp  #0x20]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:638,???,btree_get0,ldp x23  x24  [sp  #0x30]
100.00,50.00 | 50.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3395,???,???,ldp x29  x30  [sp]  #0x40
100.00,50.00 | 50.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:215,???,btree_node_bsearch,ldr x25  [sp  #0x40]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:879,???,process_aux_record,ldp q2  q3  [x8]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xee6464,(null),_ZN4node6Buffer12_GLOBAL__N_111StringWriteILNS_8encodingE0EEEvRKN2v820FunctionCallbackInfoINS4_5ValueEEE,ldp x1  x2  [sp  #0x40]
0.00,0.00 | 0.00 | 0.00 | 0.00,100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x1817fe8,(null),_ZN12v8_inspector10V8Debugger13stackTraceForEiRKNS_14V8StackTraceIdE,ldp x19  x20  [sp  #0x10]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:646,???,btree_get0,ldr x2  [x1]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ptr/const_ptr.rs:0,???,_ZN4core5slice3raw14from_raw_parts18precondition_check17hff82b08b3d74beadE,ldr x9  [sp  #0x18]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/option.rs:935,???,_ZN4core6option15Option$LT$T$GT$6expect17hb49396ded5d52969E,ldr x30  [sp  #0x40]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ub_checks.rs:0,???,_ZN4core5slice3raw14from_raw_parts18precondition_check17hff82b08b3d74beadE,ldr x8  [sp  #0x10]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:230,???,btree_node_bsearch,ldp x29  x30  [sp]  #0x50
100.00,50.00 | 50.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3515,???,???,ldp x23  x24  [sp  #0x30]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/src/flags.rs:50,???,_ZN15perf_event_data5flags1_16InternalBitFlags8contains17ha68ea0736eaff61dE,ldr x8  [sp]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe9c0,(null),???,???
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:522,???,btree_node_set,ldr x5  [x5  #0xcd0]
100.00,50.00 | 50.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:529,???,btree_node_set,ldrb w0  [x19  #4]
100.00,50.00 | 50.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:522,???,btree_node_set,ldr x3  [x5]
100.00,66.67 | 33.33 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/src/records/read.rs:262,???,_ZN15perf_event_data7records4read10GroupEntry3new17hd42367257250e901E,str x8  [sp  #0x48]
100.00,50.00 | 50.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:4702,???,???,ldr x1  [x0]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/result.rs:2010,???,_ZN79_$LT$core..result..Result$LT$T$C$E$GT$$u20$as$u20$core..ops..try_trait..Try$GT$6branch17h539e0bef69832fa7E,ldr x8  [x8  #8]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/result.rs:0,???,_ZN4core6result19Result$LT$T$C$E$GT$3map17ha256930de2d49afcE,ldr x8  [sp  #8]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/slice/mod.rs:1916,???,_ZN98_$LT$core..slice..iter..ChunksExact$LT$T$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$4next17hc904b213ebf13af7E,ldr x8  [sp  #0x70]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/src/flags.rs:50,???,_ZN15perf_event_data5flags1_16InternalBitFlags8contains17ha68ea0736eaff61dE,ldr x0  [sp  #8]
0.00,0.00 | 0.00 | 0.00 | 0.00,100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1e234,(null),???,ldr x0  [x21  #0x398]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ub_checks.rs:0,???,_ZN5alloc6string6String6as_str17h04bda8833db128f9E,ldr x3  [sp  #8]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ub_checks.rs:159,???,_ZN4core9ub_checks23maybe_is_nonoverlapping7runtime17hbe149af46c51b997E,ldr x10  [sp  #0x28]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ops/function.rs:250,???,_ZN4core3ops8function6FnOnce9call_once17h4947eca9436aff8bE,ldr x30  [sp  #0x30]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/aperf:0xe3c7f8,(null),_ZN5alloc7raw_vec20RawVecInner$LT$A$GT$10deallocate17haf75e110a66311adE,ldp x29  x30  [sp  #0x10]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:161,???,???,ldp q0  q1  [x1  #0x50]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:121,???,???,ldp q0  q1  [x1]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x241bbcc,(null),HUF_decompress4X2_usingDTable_internal_default.part.0,b #0x241b1d0
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x17c7508,(null),_ZN2v87tracing11TracedValue10WriteCommaEv,cmp x20  #0xf
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x17d4040,(null),_ZNK12v8_inspector21PromiseHandlerTracker11sendFailureEPNS_14InjectedScript22ProtocolPromiseHandlerERKN8v8_crdtp16DispatchResponseE,str x3  [sp  #0x78]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xae251c,(null),???,???
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/iter/adapters/copied.rs:45,???,_ZN104_$LT$core..iter..adapters..copied..Copied$LT$I$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$4next17h7a4a3f916fe7b162E,str x8  [sp  #0x20]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x21fdb10,(null),_ZN3ada4idna10to_unicodeB5cxx11ESt17basic_string_viewIcSt11char_traitsIcEE,movz w1  #0x2e
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:572,???,tsc_to_perf_time,ldr x1  [x1  #8]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x109a118,(null),_ZN4node9inspector12_GLOBAL__N_19WsHandler6OnDataEPSt6vectorIcSaIcEE,ldp x25  x26  [sp  #0x40]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:488,???,btree_search,ldp x27  x28  [sp  #0x50]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/nptl/cancellation.c:39,???,???,ldrb w2  [x19  #0x771]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3347,???,???,ldr x23  [sp  #0x30]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/perf-event-data-0.1.2/src/parse.rs:288,???,_ZN15perf_event_data5parse19Parser$LT$B$C$E$GT$11parse_array17hdbbb8551646fbf55E,ldr x8  [sp  #0xe8]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ptr/const_ptr.rs:1478,???,_ZN4core10intrinsics19copy_nonoverlapping18precondition_check17h84f661f46bcccd4dE,ldr x9  [sp  #0x98]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/src/records/read.rs:269,???,_ZN15perf_event_data7records4read10GroupEntry3new17hd42367257250e901E,ldr x0  [sp]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x221d9ec,(null),_ZN3ada6parser14parse_url_implINS_3urlELb1EEET_St17basic_string_viewIcSt11char_traitsIcEEPKS3_,b.eq #0x221fb08
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ub_checks.rs:0,???,_ZN105_$LT$std..ffi..os_str..OsString$u20$as$u20$core..ops..index..Index$LT$core..ops..range..RangeFull$GT$$GT$5index17h234d4fff4ab2ea86E,ldr x3  [sp  #8]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/include/aarch64-linux-gnu/bits/string_fortified.h:29,  return __builtin___memcpy_chk (__dest, __src, __len,,parse_spe_record,stur w2  [sp  #0x13]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:536,???,parse_spe_record,ldr w4  [x1  #0x10]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x17af7d8,(null),_ZNSt10_HashtableIN2v88internal7BuiltinESt4pairIKS2_jESaIS5_ENSt8__detail10_Select1stESt8equal_toIS2_ESt4hashIS2_ENS7_18_Mod_range_hashingENS7_20_Default_ranged_hashENS7_20_Prime_rehash_policyENS7_17_Hashtable_traitsILb0ELb0ELb1EEEE21_M_insert_unique_nodeERS4_mmPNS7_10_Hash_nodeIS5_Lb0EEEm.isra.0,mov x0  x4
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:230,???,btree_node_bsearch,ldp x21  x22  [sp  #0x20]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/alloc/src/raw_vec/mod.rs:517,???,_ZN5alloc7raw_vec20RawVecInner$LT$A$GT$16with_capacity_in17hc9e00f1e7db40775E,ldr x8  [sp  #0x40]
100.00,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/libprocps.so.8.0.3:0x5240,(null),???,ldp x29  x30  [sp]  #0x40
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:388,???,pc_to_file_offset,ldr x5  [x0]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:212,???,btree_node_bsearch,stp x23  x24  [sp  #0x30]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:628,???,btree_get0,ldr x0  [x3]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3385,???,???,ldr x2  [x2  #0xd78]
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/libstdc++.so.6.0.30:0x9c5f4,(null),???,???
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:628,???,btree_get0,ldr x3  [x3  #0xcd0]
